drug_1,drug_2,context,label
39562,11598628,A-673,0
66144,11598628,A-673,0
5527,11598628,A-673,0
216326,11598628,A-673,1
134780,11598628,A-673,1
5426,11598628,A-673,0
73265376,11598628,A-673,0
114917,11598628,A-673,1
164676,11598628,A-673,0
11711344,11598628,A-673,1
3468,11598628,A-673,1
2907,11598628,A-673,1
65628,11598628,A-673,1
2478,11598628,A-673,0
135398738,11598628,A-673,0
5746,11598628,A-673,0
73265386,11598628,A-673,1
3690,11598628,A-673,1
2578,11598628,A-673,0
4033,11598628,A-673,1
2708,11598628,A-673,0
104799,11598628,A-673,0
2567,11598628,A-673,0
4609,11598628,A-673,1
